orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,disposition,survey
10.35533116,2.47,3.1775,750.6,777.0,86.22,5501.0,0.918,4.462,CONFIRMED,Kepler
16.08518937,3.68,3.984,1442.4,613.0,33.43,5239.0,0.826,4.523,CONFIRMED,Kepler
235.9986399,10.59,8.2284,20715.0,188.0,0.29,4245.0,0.657,4.627,CANDIDATE,Kepler
7.49018305,2.56,2.7297,1123.6,753.0,76.06,5103.0,0.787,4.562,CONFIRMED,Kepler
36.2761238,3.03,4.7865,1572.6,445.0,9.29,5103.0,0.787,4.562,CONFIRMED,Kepler
17.46087931,2.32,2.2641,812.4,568.0,24.6,5103.0,0.787,4.562,CONFIRMED,Kepler
56.0560754,1.94,4.685,1626.0,233.0,0.69,3593.0,0.491,4.757,CONFIRMED,Kepler
41.408316686,11.38,5.0264,22839.0,453.0,9.93,5522.0,0.747,4.586,CONFIRMED,Kepler
39.74893077,14.21,7.3051,15179.0,552.0,21.87,6122.0,0.964,4.487,CANDIDATE,Kepler
5.715425977,2.47,2.5242,908.1,850.0,123.03,5237.0,0.826,4.572,CONFIRMED,Kepler
49.18394185,8.2,11.3364,1646.2,669.0,47.4,5626.0,2.057,3.907,CONFIRMED,Kepler
20.0261412,2.28,1.611,421.2,559.0,23.14,5237.0,0.826,4.572,CONFIRMED,Kepler
13.61014819,19.02,2.594,5732.9,733.0,68.29,5697.0,0.903,4.46,CANDIDATE,Kepler
10.44331991,2.66,2.743,1159.8,667.0,46.94,4947.0,0.802,4.516,FALSE POSITIVE,Kepler
2.237489571,1.41,1.8119,315.8,1160.0,427.17,5265.0,0.81,4.58,CONFIRMED,Kepler
5.851520671,14.62,3.11058,33004.0,901.0,155.89,5532.0,0.806,4.53,FALSE POSITIVE,Kepler
3.167893418,2.62,2.1814,781.2,1221.0,526.23,5895.0,0.94,4.503,CONFIRMED,Kepler
4.311780262,3.11,2.7251,1154.0,1038.0,274.84,5527.0,0.927,4.484,CONFIRMED,Kepler
20.0504494,2.69,4.556,840.9,622.0,35.44,5527.0,0.927,4.484,CONFIRMED,Kepler
9.76734503,2.67,1.6585,569.1,791.0,92.46,5527.0,0.927,4.484,CONFIRMED,Kepler
119.0207044,8.98,8.1405,7430.5,366.0,4.25,5453.0,1.062,4.342,CANDIDATE,Kepler
190.3200468,7.78,15.284,1141.7,426.0,7.8,5626.0,2.057,3.907,CONFIRMED,Kepler
2.861159894,4.37,1.8832,1014.3,1355.0,797.1,6126.0,1.021,4.458,FALSE POSITIVE,Kepler
26.44439337,3.91,3.9783,1843.5,562.0,23.54,5427.0,0.929,4.463,CONFIRMED,Kepler
51.53997972,5.51,6.3994,3644.3,450.0,9.67,5427.0,0.929,4.463,CONFIRMED,Kepler
5.902245782,2.43,2.9003,702.3,926.0,173.74,5427.0,0.929,4.463,CONFIRMED,Kepler
2.382951591,1.86,1.8876,391.6,1253.0,583.01,5427.0,0.929,4.463,CONFIRMED,Kepler
21.02250608,3.07,4.1072,1772.5,521.0,17.48,5067.0,0.75,4.585,CONFIRMED,Kepler
3.219814777,1.69,2.0642,488.2,998.0,234.93,5103.0,0.787,4.562,CONFIRMED,Kepler
5.912273234,1.73,2.3254,961.4,585.0,27.72,4072.0,0.57,4.696,CONFIRMED,Kepler
8.98581901,1.65,2.8606,881.3,509.0,15.9,4072.0,0.57,4.696,CONFIRMED,Kepler
12.940668656,22.94,2.4845,42450.0,723.0,64.64,5875.0,0.809,4.572,CANDIDATE,Kepler
20.5452375,2.41,2.517,218.5,742.0,71.57,5670.0,1.264,4.206,FALSE POSITIVE,Kepler
33.60123371,8.46,4.4056,7425.9,495.0,14.22,5149.0,0.93,4.447,CONFIRMED,Kepler
