orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,survey,original_index
21.1181653,2.89,9.734,112.7,1110.0,359.11,6461.0,2.566,3.779,Kepler,2604
5.06092282,0.98,2.586,71.6,998.0,234.93,5637.0,0.911,4.492,Kepler,2605
0.910020582,1.12,1.7956,358.1,1127.0,380.16,4297.0,0.533,4.725,Kepler,2609
1.07808492,1.01,0.8551,155.6,1417.0,951.61,4906.0,0.814,4.511,Kepler,2611
11.1916199,1.47,2.1,166.4,782.0,88.34,5646.0,0.956,4.464,Kepler,2628
174.731515,3.0,8.257,1179.9,287.0,1.6,5201.0,0.897,4.447,Kepler,2632
0.858546796,0.88,1.1,106.1,1671.0,1846.35,5269.0,0.864,4.491,Kepler,2637
5.518195,0.46,1.81,27.1,969.0,208.54,5767.0,0.881,4.538,Kepler,2638
75.1122132,23.23,4.9458,3751.5,777.0,86.18,6201.0,3.354,3.616,Kepler,2644
3.76562031,19.39,1.288,232.6,1084.0,326.2,5743.0,0.853,4.553,Kepler,2649
2.46288834,0.67,1.724,47.4,1391.0,883.43,5893.0,0.967,4.395,Kepler,2653
10.9192653,1.9,4.572,91.1,1107.0,355.29,5745.0,1.972,3.939,Kepler,2672
